participant_id,condition,block_index,trial_index,target_id,index_of_difficulty,movement_time_ms,is_successful,error_count,overshoot_count,mean_gaze_confidence,mean_head_confidence,mean_hand_confidence,effective_throughput,timestamp
P01,C1_STATIC_BASELINE,0,0,0,3.6795,893.03,0,1,0,0.8638,0.8599,0.7835,0.0,1788754726.1881979
P01,C1_STATIC_BASELINE,0,1,1,3.6795,780.48,0,1,0,0.857,0.8298,0.7958,0.0,1788754726.1881979
P01,C1_STATIC_BASELINE,0,2,2,3.6795,747.1,1,0,0,0.8023,0.8369,0.7743,4.925,1788754726.1881979
P01,C1_STATIC_BASELINE,0,3,3,3.6795,958.51,1,0,0,0.7954,0.8812,0.7838,3.8388,1788754726.1881979
P01,C1_STATIC_BASELINE,0,4,4,3.6795,802.2,1,0,0,0.8647,0.8462,0.787,4.5868,1788754726.1881979
P01,C1_STATIC_BASELINE,0,5,5,3.6795,935.47,1,0,0,0.8242,0.8093,0.798,3.9333,1788754726.1881979
P01,C1_STATIC_BASELINE,0,6,6,3.6795,881.54,1,0,0,0.7835,0.8063,0.8128,4.1739,1788754726.1881979
P01,C1_STATIC_BASELINE,0,7,7,3.6795,751.23,1,0,0,0.8036,0.834,0.7604,4.8979,1788754726.1881979
P01,C1_STATIC_BASELINE,0,8,8,3.6795,924.07,1,0,0,0.7925,0.8674,0.8184,3.9818,1788754726.1881979
P01,C1_STATIC_BASELINE,0,9,9,3.6795,907.26,0,1,0,0.7894,0.8521,0.8063,0.0,1788754726.1881979
P01,C1_STATIC_BASELINE,0,10,10,3.6795,875.55,1,0,0,0.8488,0.8802,0.8557,4.2025,1788754726.1881979
P01,C1_STATIC_BASELINE,0,11,11,3.6795,815.58,1,0,0,0.8557,0.8552,0.7773,4.5115,1788754726.1881979
P01,C1_STATIC_BASELINE,0,12,12,3.6795,739.3,1,0,0,0.7935,0.8449,0.8318,4.977,1788754726.1881979
P01,C1_STATIC_BASELINE,0,13,13,3.6795,950.07,1,0,0,0.8222,0.8565,0.7931,3.8729,1788754726.1881979
P01,C1_STATIC_BASELINE,0,14,14,3.6795,711.03,1,0,0,0.8021,0.845,0.8315,5.1749,1788754726.1881979
P01,C1_STATIC_BASELINE,0,15,15,3.6795,920.76,1,0,0,0.8447,0.8344,0.7599,3.9961,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,0,0,3.6795,795.86,1,0,0,0.8743,0.9091,0.8016,4.6233,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,1,1,3.6795,796.59,1,0,0,0.8293,0.9004,0.8234,4.619,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,2,2,3.6795,762.93,1,0,0,0.8359,0.8626,0.8632,4.8228,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,3,3,3.6795,644.44,1,0,0,0.8651,0.8445,0.8217,5.7096,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,4,4,3.6795,620.94,1,0,0,0.867,0.8479,0.8573,5.9256,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,5,5,3.6795,701.5,1,0,0,0.8397,0.8468,0.8347,5.2452,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,6,6,3.6795,785.45,0,1,0,0.831,0.8925,0.801,0.0,1788754726.1881979
